gencodeId	geneSymbol	medianTPM	release	tissueId
ENSG00000011600.7	TYROBP	136.65	v7	Adipose_Subcutaneous
ENSG00000011600.7	TYROBP	145.3	v7	Adipose_Visceral_Omentum
ENSG00000011600.7	TYROBP	80.915	v7	Adrenal_Gland
ENSG00000011600.7	TYROBP	127.9	v7	Artery_Aorta
ENSG00000011600.7	TYROBP	116.2	v7	Artery_Coronary
ENSG00000011600.7	TYROBP	51.53	v7	Artery_Tibial
ENSG00000011600.7	TYROBP	50.21	v7	Bladder
ENSG00000011600.7	TYROBP	24.0	v7	Brain_Amygdala
ENSG00000011600.7	TYROBP	13.92	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000011600.7	TYROBP	21.46	v7	Brain_Caudate_basal_ganglia
ENSG00000011600.7	TYROBP	8.0685	v7	Brain_Cerebellar_Hemisphere
ENSG00000011600.7	TYROBP	6.436	v7	Brain_Cerebellum
ENSG00000011600.7	TYROBP	11.935	v7	Brain_Cortex
ENSG00000011600.7	TYROBP	13.79	v7	Brain_Frontal_Cortex_BA9
ENSG00000011600.7	TYROBP	24.97	v7	Brain_Hippocampus
ENSG00000011600.7	TYROBP	35.72	v7	Brain_Hypothalamus
ENSG00000011600.7	TYROBP	19.53	v7	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000011600.7	TYROBP	18.215	v7	Brain_Putamen_basal_ganglia
ENSG00000011600.7	TYROBP	107.8	v7	Brain_Spinal_cord_cervical_c-1
ENSG00000011600.7	TYROBP	48.295	v7	Brain_Substantia_nigra
ENSG00000011600.7	TYROBP	67.855	v7	Breast_Mammary_Tissue
ENSG00000011600.7	TYROBP	3.136	v7	Cells_EBV-transformed_lymphocytes
ENSG00000011600.7	TYROBP	0.2721	v7	Cells_Transformed_fibroblasts
ENSG00000011600.7	TYROBP	27.53	v7	Cervix_Ectocervix
ENSG00000011600.7	TYROBP	51.44	v7	Cervix_Endocervix
ENSG00000011600.7	TYROBP	47.97	v7	Colon_Sigmoid
ENSG00000011600.7	TYROBP	49.55	v7	Colon_Transverse
ENSG00000011600.7	TYROBP	43.69	v7	Esophagus_Gastroesophageal_Junction
ENSG00000011600.7	TYROBP	17.61	v7	Esophagus_Mucosa
ENSG00000011600.7	TYROBP	44.815	v7	Esophagus_Muscularis
ENSG00000011600.7	TYROBP	45.88	v7	Fallopian_Tube
ENSG00000011600.7	TYROBP	25.17	v7	Heart_Atrial_Appendage
ENSG00000011600.7	TYROBP	12.24	v7	Heart_Left_Ventricle
ENSG00000011600.7	TYROBP	25.32	v7	Kidney_Cortex
ENSG00000011600.7	TYROBP	26.68	v7	Liver
ENSG00000011600.7	TYROBP	412.9	v7	Lung
ENSG00000011600.7	TYROBP	37.24	v7	Minor_Salivary_Gland
ENSG00000011600.7	TYROBP	5.2055	v7	Muscle_Skeletal
ENSG00000011600.7	TYROBP	108.2	v7	Nerve_Tibial
ENSG00000011600.7	TYROBP	23.44	v7	Ovary
ENSG00000011600.7	TYROBP	10.465	v7	Pancreas
ENSG00000011600.7	TYROBP	29.69	v7	Pituitary
ENSG00000011600.7	TYROBP	42.91	v7	Prostate
ENSG00000011600.7	TYROBP	24.93	v7	Skin_Not_Sun_Exposed_Suprapubic
ENSG00000011600.7	TYROBP	27.4	v7	Skin_Sun_Exposed_Lower_leg
ENSG00000011600.7	TYROBP	71.49	v7	Small_Intestine_Terminal_Ileum
ENSG00000011600.7	TYROBP	621.5	v7	Spleen
ENSG00000011600.7	TYROBP	26.775	v7	Stomach
ENSG00000011600.7	TYROBP	11.0	v7	Testis
ENSG00000011600.7	TYROBP	32.395	v7	Thyroid
ENSG00000011600.7	TYROBP	36.38	v7	Uterus
ENSG00000011600.7	TYROBP	32.22	v7	Vagina
ENSG00000011600.7	TYROBP	1811.0	v7	Whole_Blood
ENSG00000013306.11	SLC25A39	59.905	v7	Adipose_Subcutaneous
ENSG00000013306.11	SLC25A39	66.15	v7	Adipose_Visceral_Omentum
ENSG00000013306.11	SLC25A39	106.8	v7	Adrenal_Gland
ENSG00000013306.11	SLC25A39	69.75	v7	Artery_Aorta
ENSG00000013306.11	SLC25A39	77.68	v7	Artery_Coronary
ENSG00000013306.11	SLC25A39	61.74	v7	Artery_Tibial
ENSG00000013306.11	SLC25A39	78.07	v7	Bladder
ENSG00000013306.11	SLC25A39	35.435	v7	Brain_Amygdala
ENSG00000013306.11	SLC25A39	37.38	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000013306.11	SLC25A39	35.67	v7	Brain_Caudate_basal_ganglia
ENSG00000013306.11	SLC25A39	70.68	v7	Brain_Cerebellar_Hemisphere
ENSG00000013306.11	SLC25A39	76.19	v7	Brain_Cerebellum
ENSG00000013306.11	SLC25A39	47.235	v7	Brain_Cortex
ENSG00000013306.11	SLC25A39	44.91	v7	Brain_Frontal_Cortex_BA9
