gencodeId	geneSymbol	medianTPM	release	tissueId
ENSG00000135744.7	AGT	7.877000000000001	v7	Adipose_Subcutaneous
ENSG00000135744.7	AGT	13.32	v7	Adipose_Visceral_Omentum
ENSG00000135744.7	AGT	21.835	v7	Adrenal_Gland
ENSG00000135744.7	AGT	57.62	v7	Artery_Aorta
ENSG00000135744.7	AGT	99.93	v7	Artery_Coronary
ENSG00000135744.7	AGT	59.53	v7	Artery_Tibial
ENSG00000135744.7	AGT	2.87	v7	Bladder
ENSG00000135744.7	AGT	203.9	v7	Brain_Amygdala
ENSG00000135744.7	AGT	148.5	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000135744.7	AGT	217.55	v7	Brain_Caudate_basal_ganglia
ENSG00000135744.7	AGT	319.05	v7	Brain_Cerebellar_Hemisphere
ENSG00000135744.7	AGT	275.6	v7	Brain_Cerebellum
ENSG00000135744.7	AGT	186.65	v7	Brain_Cortex
ENSG00000135744.7	AGT	149.0	v7	Brain_Frontal_Cortex_BA9
ENSG00000135744.7	AGT	132.9	v7	Brain_Hippocampus
ENSG00000135744.7	AGT	120.8	v7	Brain_Hypothalamus
ENSG00000135744.7	AGT	125.2	v7	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000135744.7	AGT	206.85	v7	Brain_Putamen_basal_ganglia
ENSG00000135744.7	AGT	116.8	v7	Brain_Spinal_cord_cervical_c-1
ENSG00000135744.7	AGT	181.45	v7	Brain_Substantia_nigra
ENSG00000135744.7	AGT	4.976	v7	Breast_Mammary_Tissue
ENSG00000135744.7	AGT	0.1749	v7	Cells_EBV-transformed_lymphocytes
ENSG00000135744.7	AGT	1.69	v7	Cells_Transformed_fibroblasts
ENSG00000135744.7	AGT	1.3255999999999998E1	v7	Cervix_Ectocervix
ENSG00000135744.7	AGT	22.69	v7	Cervix_Endocervix
ENSG00000135744.7	AGT	5.355	v7	Colon_Sigmoid
ENSG00000135744.7	AGT	6.457000000000001	v7	Colon_Transverse
ENSG00000135744.7	AGT	9.8385	v7	Esophagus_Gastroesophageal_Junction
ENSG00000135744.7	AGT	1.266	v7	Esophagus_Mucosa
ENSG00000135744.7	AGT	12.29	v7	Esophagus_Muscularis
ENSG00000135744.7	AGT	11.04	v7	Fallopian_Tube
ENSG00000135744.7	AGT	138.5	v7	Heart_Atrial_Appendage
ENSG00000135744.7	AGT	76.51	v7	Heart_Left_Ventricle
ENSG00000135744.7	AGT	28.15	v7	Kidney_Cortex
ENSG00000135744.7	AGT	1055.0	v7	Liver
ENSG00000135744.7	AGT	8.562000000000001	v7	Lung
ENSG00000135744.7	AGT	6.218	v7	Minor_Salivary_Gland
ENSG00000135744.7	AGT	28.62	v7	Muscle_Skeletal
ENSG00000135744.7	AGT	21.75	v7	Nerve_Tibial
ENSG00000135744.7	AGT	4.281000000000001	v7	Ovary
ENSG00000135744.7	AGT	4.332	v7	Pancreas
ENSG00000135744.7	AGT	26.48	v7	Pituitary
ENSG00000135744.7	AGT	19.38	v7	Prostate
ENSG00000135744.7	AGT	1.2209999999999999	v7	Skin_Not_Sun_Exposed_Suprapubic
ENSG00000135744.7	AGT	2.373	v7	Skin_Sun_Exposed_Lower_leg
ENSG00000135744.7	AGT	13.65	v7	Small_Intestine_Terminal_Ileum
ENSG00000135744.7	AGT	0.4242	v7	Spleen
ENSG00000135744.7	AGT	4.617	v7	Stomach
ENSG00000135744.7	AGT	10.24	v7	Testis
ENSG00000135744.7	AGT	25.29	v7	Thyroid
ENSG00000135744.7	AGT	4.558	v7	Uterus
ENSG00000135744.7	AGT	5.837000000000001	v7	Vagina
ENSG00000135744.7	AGT	0.2633	v7	Whole_Blood
ENSG00000172482.4	AGXT	0.284	v7	Adipose_Subcutaneous
ENSG00000172482.4	AGXT	0.5251	v7	Adipose_Visceral_Omentum
ENSG00000172482.4	AGXT	0.2575	v7	Adrenal_Gland
ENSG00000172482.4	AGXT	0.06957	v7	Artery_Aorta
ENSG00000172482.4	AGXT	0.1318	v7	Artery_Coronary
ENSG00000172482.4	AGXT	0.02658	v7	Artery_Tibial
ENSG00000172482.4	AGXT	0.1136	v7	Bladder
ENSG00000172482.4	AGXT	0.024055	v7	Brain_Amygdala
ENSG00000172482.4	AGXT	0.02029	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000172482.4	AGXT	2.9644999999999998E-2	v7	Brain_Caudate_basal_ganglia
ENSG00000172482.4	AGXT	0.0277	v7	Brain_Cerebellar_Hemisphere
ENSG00000172482.4	AGXT	6.552000000000001E-2	v7	Brain_Cerebellum
ENSG00000172482.4	AGXT	0.051155	v7	Brain_Cortex
ENSG00000172482.4	AGXT	0.0	v7	Brain_Frontal_Cortex_BA9
ENSG00000172482.4	AGXT	1.5969999999999998E-2	v7	Brain_Hippocampus
ENSG00000172482.4	AGXT	1.7759999999999998E-2	v7	Brain_Hypothalamus
ENSG00000172482.4	AGXT	1.6280000000000003E-2	v7	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000172482.4	AGXT	0.017415	v7	Brain_Putamen_basal_ganglia
ENSG00000172482.4	AGXT	0.01873	v7	Brain_Spinal_cord_cervical_c-1
ENSG00000172482.4	AGXT	0.0	v7	Brain_Substantia_nigra
ENSG00000172482.4	AGXT	0.30605	v7	Breast_Mammary_Tissue
ENSG00000172482.4	AGXT	0.04022	v7	Cells_EBV-transformed_lymphocytes
ENSG00000172482.4	AGXT	0.03677	v7	Cells_Transformed_fibroblasts
ENSG00000172482.4	AGXT	0.19025	v7	Cervix_Ectocervix
ENSG00000172482.4	AGXT	0.1918	v7	Cervix_Endocervix
ENSG00000172482.4	AGXT	6.1689999999999995E-2	v7	Colon_Sigmoid
ENSG00000172482.4	AGXT	0.62195	v7	Colon_Transverse
ENSG00000172482.4	AGXT	0.05412	v7	Esophagus_Gastroesophageal_Junction
ENSG00000172482.4	AGXT	0.09573	v7	Esophagus_Mucosa
ENSG00000172482.4	AGXT	0.05221	v7	Esophagus_Muscularis
ENSG00000172482.4	AGXT	0.1029	v7	Fallopian_Tube
ENSG00000172482.4	AGXT	3.8560000000000004E-2	v7	Heart_Atrial_Appendage
ENSG00000172482.4	AGXT	0.01325	v7	Heart_Left_Ventricle
ENSG00000172482.4	AGXT	3.637	v7	Kidney_Cortex
ENSG00000172482.4	AGXT	1692.0	v7	Liver
ENSG00000172482.4	AGXT	7.032000000000001E-2	v7	Lung
ENSG00000172482.4	AGXT	0.1186	v7	Minor_Salivary_Gland
ENSG00000172482.4	AGXT	0.030455	v7	Muscle_Skeletal
ENSG00000172482.4	AGXT	0.061715	v7	Nerve_Tibial
ENSG00000172482.4	AGXT	0.1279	v7	Ovary
ENSG00000172482.4	AGXT	0.088475	v7	Pancreas
ENSG00000172482.4	AGXT	0.1351	v7	Pituitary
ENSG00000172482.4	AGXT	0.20685	v7	Prostate
ENSG00000172482.4	AGXT	0.09519	v7	Skin_Not_Sun_Exposed_Suprapubic
ENSG00000172482.4	AGXT	0.05409	v7	Skin_Sun_Exposed_Lower_leg
ENSG00000172482.4	AGXT	0.1491	v7	Small_Intestine_Terminal_Ileum
ENSG00000172482.4	AGXT	3.0925	v7	Spleen
ENSG00000172482.4	AGXT	0.11945	v7	Stomach
ENSG00000172482.4	AGXT	0.3849	v7	Testis
ENSG00000172482.4	AGXT	0.062265	v7	Thyroid
ENSG00000172482.4	AGXT	0.09972	v7	Uterus
ENSG00000172482.4	AGXT	9.742999999999999E-2	v7	Vagina
ENSG00000172482.4	AGXT	0.1507	v7	Whole_Blood
ENSG00000145192.8	AHSG	0.0204	v7	Adipose_Subcutaneous
ENSG00000145192.8	AHSG	0.04659	v7	Adipose_Visceral_Omentum
ENSG00000145192.8	AHSG	5.5564999999999996E-2	v7	Adrenal_Gland
ENSG00000145192.8	AHSG	6.677000000000001E-2	v7	Artery_Aorta
ENSG00000145192.8	AHSG	6.1020000000000005E-2	v7	Artery_Coronary
ENSG00000145192.8	AHSG	0.0	v7	Artery_Tibial
ENSG00000145192.8	AHSG	0.1351	v7	Bladder
ENSG00000145192.8	AHSG	0.11095	v7	Brain_Amygdala
ENSG00000145192.8	AHSG	0.1608	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000145192.8	AHSG	5.8004999999999994E-2	v7	Brain_Caudate_basal_ganglia
ENSG00000145192.8	AHSG	0.04167	v7	Brain_Cerebellar_Hemisphere
ENSG00000145192.8	AHSG	0.0681	v7	Brain_Cerebellum
ENSG00000145192.8	AHSG	0.2407	v7	Brain_Cortex
ENSG00000145192.8	AHSG	0.2148	v7	Brain_Frontal_Cortex_BA9
ENSG00000145192.8	AHSG	0.07545	v7	Brain_Hippocampus
ENSG00000145192.8	AHSG	0.1084	v7	Brain_Hypothalamus
ENSG00000145192.8	AHSG	0.1109	v7	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000145192.8	AHSG	0.07443	v7	Brain_Putamen_basal_ganglia
ENSG00000145192.8	AHSG	0.07783	v7	Brain_Spinal_cord_cervical_c-1
ENSG00000145192.8	AHSG	0.062795	v7	Brain_Substantia_nigra
ENSG00000145192.8	AHSG	0.04713	v7	Breast_Mammary_Tissue
ENSG00000145192.8	AHSG	0.050455	v7	Cells_EBV-transformed_lymphocytes
ENSG00000145192.8	AHSG	0.05395	v7	Cells_Transformed_fibroblasts
ENSG00000145192.8	AHSG	0.18045	v7	Cervix_Ectocervix
ENSG00000145192.8	AHSG	0.03518	v7	Cervix_Endocervix
ENSG00000145192.8	AHSG	0.03528	v7	Colon_Sigmoid
ENSG00000145192.8	AHSG	0.05058	v7	Colon_Transverse
ENSG00000145192.8	AHSG	0.041065	v7	Esophagus_Gastroesophageal_Junction
ENSG00000145192.8	AHSG	0.2105	v7	Esophagus_Mucosa
ENSG00000145192.8	AHSG	0.055025	v7	Esophagus_Muscularis
ENSG00000145192.8	AHSG	0.1493	v7	Fallopian_Tube
ENSG00000145192.8	AHSG	4.8260000000000004E-2	v7	Heart_Atrial_Appendage
ENSG00000145192.8	AHSG	0.02342	v7	Heart_Left_Ventricle
ENSG00000145192.8	AHSG	0.1048	v7	Kidney_Cortex
ENSG00000145192.8	AHSG	1377.0	v7	Liver
ENSG00000145192.8	AHSG	0.06306	v7	Lung
ENSG00000145192.8	AHSG	0.05939	v7	Minor_Salivary_Gland
ENSG00000145192.8	AHSG	0.0	v7	Muscle_Skeletal
ENSG00000145192.8	AHSG	0.0	v7	Nerve_Tibial
ENSG00000145192.8	AHSG	0.08287	v7	Ovary
ENSG00000145192.8	AHSG	0.26515	v7	Pancreas
ENSG00000145192.8	AHSG	0.08559	v7	Pituitary
ENSG00000145192.8	AHSG	0.07352	v7	Prostate
ENSG00000145192.8	AHSG	0.1549	v7	Skin_Not_Sun_Exposed_Suprapubic
ENSG00000145192.8	AHSG	0.1389	v7	Skin_Sun_Exposed_Lower_leg
ENSG00000145192.8	AHSG	0.05088	v7	Small_Intestine_Terminal_Ileum
ENSG00000145192.8	AHSG	0.1057	v7	Spleen
ENSG00000145192.8	AHSG	0.064455	v7	Stomach
ENSG00000145192.8	AHSG	3.207	v7	Testis
ENSG00000145192.8	AHSG	0.051925	v7	Thyroid
ENSG00000145192.8	AHSG	0.07296	v7	Uterus
ENSG00000145192.8	AHSG	0.1209	v7	Vagina
ENSG00000145192.8	AHSG	0.1247	v7	Whole_Blood
ENSG00000163631.12	ALB	1.0275	v7	Adipose_Subcutaneous
ENSG00000163631.12	ALB	1.577	v7	Adipose_Visceral_Omentum
ENSG00000163631.12	ALB	2.2159999999999997	v7	Adrenal_Gland
ENSG00000163631.12	ALB	2.06	v7	Artery_Aorta
ENSG00000163631.12	ALB	2.05	v7	Artery_Coronary
ENSG00000163631.12	ALB	1.09	v7	Artery_Tibial
ENSG00000163631.12	ALB	1.689	v7	Bladder
ENSG00000163631.12	ALB	1.217	v7	Brain_Amygdala
ENSG00000163631.12	ALB	1.109	v7	Brain_Anterior_cingulate_cortex_BA24
ENSG00000163631.12	ALB	2.0315	v7	Brain_Caudate_basal_ganglia
ENSG00000163631.12	ALB	0.8656	v7	Brain_Cerebellar_Hemisphere
ENSG00000163631.12	ALB	1.845	v7	Brain_Cerebellum
ENSG00000163631.12	ALB	1.4455	v7	Brain_Cortex
ENSG00000163631.12	ALB	1.217	v7	Brain_Frontal_Cortex_BA9
ENSG00000163631.12	ALB	1.258	v7	Brain_Hippocampus
ENSG00000163631.12	ALB	1.557	v7	Brain_Hypothalamus
ENSG00000163631.12	ALB	2.9610000000000003	v7	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000163631.12	ALB	1.883	v7	Brain_Putamen_basal_ganglia
ENSG00000163631.12	ALB	1.797	v7	Brain_Spinal_cord_cervical_c-1
ENSG00000163631.12	ALB	1.1275	v7	Brain_Substantia_nigra
ENSG00000163631.12	ALB	2.1975	v7	Breast_Mammary_Tissue
ENSG00000163631.12	ALB	0.67055	v7	Cells_EBV-transformed_lymphocytes
ENSG00000163631.12	ALB	0.8149	v7	Cells_Transformed_fibroblasts
ENSG00000163631.12	ALB	2.2245	v7	Cervix_Ectocervix
ENSG00000163631.12	ALB	1.895	v7	Cervix_Endocervix
ENSG00000163631.12	ALB	1.129	v7	Colon_Sigmoid
ENSG00000163631.12	ALB	1.207	v7	Colon_Transverse
ENSG00000163631.12	ALB	1.431	v7	Esophagus_Gastroesophageal_Junction
ENSG00000163631.12	ALB	1.5	v7	Esophagus_Mucosa
ENSG00000163631.12	ALB	1.4805	v7	Esophagus_Muscularis
ENSG00000163631.12	ALB	5.015	v7	Fallopian_Tube
ENSG00000163631.12	ALB	1.4380000000000002	v7	Heart_Atrial_Appendage
ENSG00000163631.12	ALB	0.4478	v7	Heart_Left_Ventricle
ENSG00000163631.12	ALB	27.05	v7	Kidney_Cortex
ENSG00000163631.12	ALB	25520.0	v7	Liver
ENSG00000163631.12	ALB	2.2840000000000003	v7	Lung
