gencodeId	medianTPM	tissueId	geneSymbol
ENSG00000248527.1	3108.0	Adipose_Subcutaneous	MTATP6P1
ENSG00000248527.1	3881.0	Adipose_Visceral_Omentum	MTATP6P1
ENSG00000248527.1	5478.5	Adrenal_Gland	MTATP6P1
ENSG00000248527.1	1767.0	Artery_Aorta	MTATP6P1
ENSG00000248527.1	2189.0	Artery_Coronary	MTATP6P1
ENSG00000248527.1	1917.0	Artery_Tibial	MTATP6P1
ENSG00000248527.1	2810.0	Bladder	MTATP6P1
ENSG00000248527.1	6332.5	Brain_Amygdala	MTATP6P1
ENSG00000248527.1	6276.0	Brain_Anterior_cingulate_cortex_BA24	MTATP6P1
ENSG00000248527.1	7405.0	Brain_Caudate_basal_ganglia	MTATP6P1
ENSG00000248527.1	4014.5	Brain_Cerebellar_Hemisphere	MTATP6P1
ENSG00000248527.1	4581.0	Brain_Cerebellum	MTATP6P1
ENSG00000248527.1	6114.5	Brain_Cortex	MTATP6P1
ENSG00000248527.1	5363.0	Brain_Frontal_Cortex_BA9	MTATP6P1
ENSG00000248527.1	6642.0	Brain_Hippocampus	MTATP6P1
ENSG00000248527.1	6173.0	Brain_Hypothalamus	MTATP6P1
ENSG00000248527.1	6691.0	Brain_Nucleus_accumbens_basal_ganglia	MTATP6P1
ENSG00000248527.1	7739.0	Brain_Putamen_basal_ganglia	MTATP6P1
ENSG00000248527.1	4649.0	Brain_Spinal_cord_cervical_c-1	MTATP6P1
ENSG00000248527.1	6209.0	Brain_Substantia_nigra	MTATP6P1
ENSG00000248527.1	3424.5	Breast_Mammary_Tissue	MTATP6P1
ENSG00000248527.1	1650.5	Cells_EBV-transformed_lymphocytes	MTATP6P1
ENSG00000248527.1	1379.0	Cells_Transformed_fibroblasts	MTATP6P1
ENSG00000248527.1	1818.5	Cervix_Ectocervix	MTATP6P1
ENSG00000248527.1	2113.0	Cervix_Endocervix	MTATP6P1
ENSG00000248527.1	3499.0	Colon_Sigmoid	MTATP6P1
ENSG00000248527.1	4288.5	Colon_Transverse	MTATP6P1
ENSG00000248527.1	3503.0	Esophagus_Gastroesophageal_Junction	MTATP6P1
ENSG00000248527.1	1995.0	Esophagus_Mucosa	MTATP6P1
ENSG00000248527.1	3619.5	Esophagus_Muscularis	MTATP6P1
ENSG00000248527.1	2240.0	Fallopian_Tube	MTATP6P1
ENSG00000248527.1	6837.0	Heart_Atrial_Appendage	MTATP6P1
ENSG00000248527.1	8294.0	Heart_Left_Ventricle	MTATP6P1
ENSG00000248527.1	6276.0	Kidney_Cortex	MTATP6P1
ENSG00000248527.1	5360.0	Liver	MTATP6P1
ENSG00000248527.1	2172.0	Lung	MTATP6P1
ENSG00000248527.1	2473.0	Minor_Salivary_Gland	MTATP6P1
ENSG00000248527.1	4844.5	Muscle_Skeletal	MTATP6P1
ENSG00000248527.1	2221.0	Nerve_Tibial	MTATP6P1
ENSG00000248527.1	2238.0	Ovary	MTATP6P1
ENSG00000248527.1	1411.0	Pancreas	MTATP6P1
ENSG00000248527.1	2510.0	Pituitary	MTATP6P1
ENSG00000248527.1	4062.5	Prostate	MTATP6P1
ENSG00000248527.1	2779.0	Skin_Not_Sun_Exposed_Suprapubic	MTATP6P1
