sample_id	firecloud_id	cram_file	cram_file_md5	cram_file_size	cram_index	cram_file_aws	cram_index_aws
GTEX-1117F-0003-SM-6WBT7	G77324_GTEX-1117F-0003	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1117F-0003/GTEX-1117F-0003.cram	e4593d61fd70c7a152ea5a6fb5d8b798	49755594764	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1117F-0003/GTEX-1117F-0003.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.crai
GTEX-111CU-0003-SM-6WBUD	G77324_GTEX-111CU-0003	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111CU-0003/GTEX-111CU-0003.cram	e78c220ccd642a47e3e1631982eb6c9b	47037775969	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111CU-0003/GTEX-111CU-0003.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.crai
GTEX-111FC-0001-SM-6WBTJ	G77324_GTEX-111FC-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111FC-0001/GTEX-111FC-0001.cram	e3da69f44f149826bd79ac53329f2139	51332177095	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111FC-0001/GTEX-111FC-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.crai
GTEX-111VG-0004-SM-6WBTS	G77324_GTEX-111VG-0004	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111VG-0004/GTEX-111VG-0004.cram	2b9d6e5358288284cd4b8edcd4b10442	52095952984	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111VG-0004/GTEX-111VG-0004.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.crai
GTEX-111YS-0004-SM-6WBTN	G77324_GTEX-111YS-0004	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111YS-0004/GTEX-111YS-0004.cram	8807f7f757aaaa159cf8ba1a8b914f8e	55790590808	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-111YS-0004/GTEX-111YS-0004.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.crai
GTEX-1122O-0004-SM-6WBTE	G77324_GTEX-1122O-0004	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1122O-0004/GTEX-1122O-0004.cram	29d8ef72e89cca4dfa8025dfbd918365	49374726149	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1122O-0004/GTEX-1122O-0004.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1122O-0004-SM-6WBTE.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1122O-0004-SM-6WBTE.crai
GTEX-1128S-0001-SM-6WBUH	G77324_GTEX-1128S-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1128S-0001/GTEX-1128S-0001.cram	dcf620dd997cc48191560970adc13dbf	54609637828	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1128S-0001/GTEX-1128S-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1128S-0001-SM-6WBUH.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1128S-0001-SM-6WBUH.crai
GTEX-113JC-0001-SM-6WBTD	G77324_GTEX-113JC-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-113JC-0001/GTEX-113JC-0001.cram	580af008f975e5747a23c1b372de5a4a	47962206125	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-113JC-0001/GTEX-113JC-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-113JC-0001-SM-6WBTD.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-113JC-0001-SM-6WBTD.crai
GTEX-117XS-0001-SM-6WBTA	G77324_GTEX-117XS-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-117XS-0001/GTEX-117XS-0001.cram	d62295fafa9c8493af891bfb1d356f20	52293099046	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-117XS-0001/GTEX-117XS-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117XS-0001-SM-6WBTA.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117XS-0001-SM-6WBTA.crai
GTEX-117YW-0003-SM-6WBSY	G77324_GTEX-117YW-0003	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-117YW-0003/GTEX-117YW-0003.cram	0bb0b52146b9c392696e1b3d301187f0	52949403114	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-117YW-0003/GTEX-117YW-0003.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YW-0003-SM-6WBSY.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YW-0003-SM-6WBSY.crai
GTEX-117YX-0001-SM-7DRQ6	G80551_GTEX-117YX-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G80551/GTEX-117YX-0001/GTEX-117YX-0001.cram	06fbb4a60f0b57fcf32bca82625fddf6	32114315821	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G80551/GTEX-117YX-0001/GTEX-117YX-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YX-0001-SM-7DRQ6.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YX-0001-SM-7DRQ6.crai
GTEX-1192W-0001-SM-6WBTI	G77324_GTEX-1192W-0001	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1192W-0001/GTEX-1192W-0001.cram	e03c199a40d9af724ce171f224b28672	48369528870	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1192W-0001/GTEX-1192W-0001.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192W-0001-SM-6WBTI.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192W-0001-SM-6WBTI.crai
GTEX-1192X-0004-SM-6WBTF	G77324_GTEX-1192X-0004	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1192X-0004/GTEX-1192X-0004.cram	e5830a4191d6f8fd02094e0a4865aef1	49879620181	gs://fc-57a0f51b-4cb1-44d7-82d7-bad4f67f6a35/G77324/GTEX-1192X-0004/GTEX-1192X-0004.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192X-0004-SM-6WBTF.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1192X-0004-SM-6WBTF.crai
