gencodeId	medianTPM	tissueId	geneSymbol
ENSG00000265150.1	40.415	Adipose_Subcutaneous	RN7SL2
ENSG00000265150.1	37.23	Adipose_Visceral_Omentum	RN7SL2
ENSG00000265150.1	71.075	Adrenal_Gland	RN7SL2
ENSG00000265150.1	67.75	Artery_Aorta	RN7SL2
ENSG00000265150.1	52.31	Artery_Coronary	RN7SL2
ENSG00000265150.1	59.0	Artery_Tibial	RN7SL2
ENSG00000265150.1	41.5	Bladder	RN7SL2
ENSG00000265150.1	136.9	Brain_Amygdala	RN7SL2
ENSG00000265150.1	124.5	Brain_Anterior_cingulate_cortex_BA24	RN7SL2
ENSG00000265150.1	136.0	Brain_Caudate_basal_ganglia	RN7SL2
ENSG00000265150.1	239.65	Brain_Cerebellar_Hemisphere	RN7SL2
ENSG00000265150.1	322.5	Brain_Cerebellum	RN7SL2
ENSG00000265150.1	125.35	Brain_Cortex	RN7SL2
ENSG00000265150.1	111.0	Brain_Frontal_Cortex_BA9	RN7SL2
ENSG00000265150.1	120.4	Brain_Hippocampus	RN7SL2
ENSG00000265150.1	115.1	Brain_Hypothalamus	RN7SL2
ENSG00000265150.1	138.8	Brain_Nucleus_accumbens_basal_ganglia	RN7SL2
ENSG00000265150.1	138.95	Brain_Putamen_basal_ganglia	RN7SL2
ENSG00000265150.1	106.6	Brain_Spinal_cord_cervical_c-1	RN7SL2
ENSG00000265150.1	61.215	Brain_Substantia_nigra	RN7SL2
ENSG00000265150.1	35.905	Breast_Mammary_Tissue	RN7SL2
ENSG00000265150.1	43.165	Cells_EBV-transformed_lymphocytes	RN7SL2
ENSG00000265150.1	35.9	Cells_Transformed_fibroblasts	RN7SL2
ENSG00000265150.1	49.75	Cervix_Ectocervix	RN7SL2
ENSG00000265150.1	65.05	Cervix_Endocervix	RN7SL2
ENSG00000265150.1	59.53	Colon_Sigmoid	RN7SL2
ENSG00000265150.1	44.535	Colon_Transverse	RN7SL2
ENSG00000265150.1	50.745	Esophagus_Gastroesophageal_Junction	RN7SL2
ENSG00000265150.1	37.16	Esophagus_Mucosa	RN7SL2
ENSG00000265150.1	57.985	Esophagus_Muscularis	RN7SL2
ENSG00000265150.1	40.93	Fallopian_Tube	RN7SL2
ENSG00000265150.1	26.58	Heart_Atrial_Appendage	RN7SL2
ENSG00000265150.1	19.1	Heart_Left_Ventricle	RN7SL2
ENSG00000265150.1	51.43	Kidney_Cortex	RN7SL2
ENSG00000265150.1	31.64	Liver	RN7SL2
ENSG00000265150.1	61.01	Lung	RN7SL2
ENSG00000265150.1	79.98	Minor_Salivary_Gland	RN7SL2
ENSG00000265150.1	23.62	Muscle_Skeletal	RN7SL2
ENSG00000265150.1	48.55	Nerve_Tibial	RN7SL2
ENSG00000265150.1	89.19	Ovary	RN7SL2
ENSG00000265150.1	78.455	Pancreas	RN7SL2
ENSG00000265150.1	188.0	Pituitary	RN7SL2
ENSG00000265150.1	79.35	Prostate	RN7SL2
ENSG00000265150.1	38.99	Skin_Not_Sun_Exposed_Suprapubic	RN7SL2
ENSG00000265150.1	38.35	Skin_Sun_Exposed_Lower_leg	RN7SL2
ENSG00000265150.1	60.45	Small_Intestine_Terminal_Ileum	RN7SL2
ENSG00000265150.1	88.3	Spleen	RN7SL2
ENSG00000265150.1	50.155	Stomach	RN7SL2
ENSG00000265150.1	58.13	Testis	RN7SL2
ENSG00000265150.1	64.34	Thyroid	RN7SL2
ENSG00000265150.1	81.26	Uterus	RN7SL2
ENSG00000265150.1	45.51	Vagina	RN7SL2
ENSG00000265150.1	251.2	Whole_Blood	RN7SL2
ENSG00000248527.1	3108.0	Adipose_Subcutaneous	MTATP6P1
ENSG00000248527.1	3881.0	Adipose_Visceral_Omentum	MTATP6P1
ENSG00000248527.1	5478.5	Adrenal_Gland	MTATP6P1
ENSG00000248527.1	1767.0	Artery_Aorta	MTATP6P1
ENSG00000248527.1	2189.0	Artery_Coronary	MTATP6P1
ENSG00000248527.1	1917.0	Artery_Tibial	MTATP6P1
ENSG00000248527.1	2810.0	Bladder	MTATP6P1
ENSG00000248527.1	6332.5	Brain_Amygdala	MTATP6P1
ENSG00000248527.1	6276.0	Brain_Anterior_cingulate_cortex_BA24	MTATP6P1
ENSG00000248527.1	7405.0	Brain_Caudate_basal_ganglia	MTATP6P1
ENSG00000248527.1	4014.5	Brain_Cerebellar_Hemisphere	MTATP6P1
ENSG00000248527.1	4581.0	Brain_Cerebellum	MTATP6P1
ENSG00000248527.1	6114.5	Brain_Cortex	MTATP6P1
ENSG00000248527.1	5363.0	Brain_Frontal_Cortex_BA9	MTATP6P1
ENSG00000248527.1	6642.0	Brain_Hippocampus	MTATP6P1
ENSG00000248527.1	6173.0	Brain_Hypothalamus	MTATP6P1
ENSG00000248527.1	6691.0	Brain_Nucleus_accumbens_basal_ganglia	MTATP6P1
ENSG00000248527.1	7739.0	Brain_Putamen_basal_ganglia	MTATP6P1
ENSG00000248527.1	4649.0	Brain_Spinal_cord_cervical_c-1	MTATP6P1
ENSG00000248527.1	6209.0	Brain_Substantia_nigra	MTATP6P1
ENSG00000248527.1	3424.5	Breast_Mammary_Tissue	MTATP6P1
ENSG00000248527.1	1650.5	Cells_EBV-transformed_lymphocytes	MTATP6P1
ENSG00000248527.1	1379.0	Cells_Transformed_fibroblasts	MTATP6P1
ENSG00000248527.1	1818.5	Cervix_Ectocervix	MTATP6P1
ENSG00000248527.1	2113.0	Cervix_Endocervix	MTATP6P1
ENSG00000248527.1	3499.0	Colon_Sigmoid	MTATP6P1
ENSG00000248527.1	4288.5	Colon_Transverse	MTATP6P1
ENSG00000248527.1	3503.0	Esophagus_Gastroesophageal_Junction	MTATP6P1
ENSG00000248527.1	1995.0	Esophagus_Mucosa	MTATP6P1
ENSG00000248527.1	3619.5	Esophagus_Muscularis	MTATP6P1
ENSG00000248527.1	2240.0	Fallopian_Tube	MTATP6P1
